CF;OP_TYPE;ID_OIM;NOME;COGNOME;PASSWORD;EMAIL;COMPANY;TIPO;END_DATE;CF_MANAGER;OIM_GROUP
COD_FISC_SAMPLE;CREATE;userTest;User;Test;Password2;emailtest2@testemail.intra;MY COMPANY SAMPLE;HH;01-01-2019 11:35:42;COD_FISC_MANAGER_SAMPLE;OIMRoleTest
COD_FISC_SAMPLE;PROROGATE;;;;;;;;01-01-2022 11:35:42;;
COD_FISC_SAMPLE;REMOVEGROUP;;;;;;;;;;OIMRoleTest
COD_FISC_SAMPLE;ADDGROUP;;;;;;;;;;OIMRoleTest
COD_FISC_SAMPLE;CHANGEPASSWORD;;;;P@ssword1;;;;;;
COD_FISC_SAMPLE;LOCK;;;;;;;;;;
COD_FISC_SAMPLE;UNLOCK;;;;;;;;;;
COD_FISC_SAMPLE;DISABLE;;;;;;;;;;
COD_FISC_SAMPLE;ENABLE;;;;;;;;;;
COD_FISC_SAMPLE;SETMANAGER;;;;;;;;;COD_FISC_MANAGER_SAMPLE;
COD_FISC_SAMPLE;SETMAIL;;;;;emailtest@testemail.intra;;;;;
COD_FISC_SAMPLE;SETCOMPANY;;;;;;COMPANY SAMPLE INC;;;;
